lines,chunks,file_count,r_queue,r_exp,r_exp_product,s_exp,s_exp_product,review_time_minutes,is_bad
10,2,1,6,243,237,4405,4081,574.5,0
29,5,2,6,243,237,4405,4081,574.5,0
18,3,2,6,243,237,4405,4081,574.5,0
20,1,1,6,243,237,4405,4081,574.5,1
153,8,1,6,243,237,4405,4081,574.5,1
3,1,1,6,243,237,4405,4081,574.5,0
23,2,1,3,905,619,257,223,160.5999999,0
22,3,2,0,376,332,992,883,0,1
6,1,1,3,3103,2917,3377,3013,1043.633333,0
4,1,1,3,3103,2917,3377,3013,1043.633333,0
205,12,5,25,12045,10747,1634,1337,12.20000021,1
35,2,2,8,4043,1293,618,543,8.483332917,0
69,2,2,1,5,4,331,5,3269.183333,0
19,1,1,0,55,42,290,208,0,0
229,2,1,1,93,14,461,67,0,1
157,1,1,1,156,109,177,20,1063.6,1
21,3,1,1,156,109,177,20,1063.6,1
2,1,1,6,670,311,1981,126,623.9166668,1
19,4,3,12,810,725,1634,1238,23.45000021,0
76,10,6,1,16,16,290,273,33.9166671,1
9,1,1,2,122,119,357,344,0,0
30,5,1,2,122,119,357,344,0,0
251,34,15,2,122,119,357,344,0,1
18,1,1,34,3122,4,1983,128,601.0500001,0
43,14,8,2,273,4,1980,125,7.699999809,1
43,14,8,4,624,71,1980,125,1260.033333,1
42,4,2,1,266,195,250,31,8214.333333,1
18,3,2,4,1455,1052,116,53,237.3833332,0
104,2,2,4,1455,1052,116,53,237.3833332,1
22,5,2,4,18,17,1032,947,5384.6,0
53,6,3,4,18,17,1032,947,5384.6,0
18,5,1,4,18,17,1032,947,5384.6,0
11,2,1,4,18,17,1032,947,5384.6,0
5,1,1,5,18,17,1033,948,3894.083333,0
34,3,1,5,1458,109,151,14,101.1666664,0
35,10,7,1,100,98,446,440,70.80000021,1
12,2,1,20,2001,1592,448,188,748.9000002,1
18,2,2,14,3525,3355,1124,1072,9.116666839,0
105,14,6,2,42,0,42,14,721.8666666,1
105,14,6,16,1985,1579,42,14,12.96666674,1
2,1,1,1,5,5,95,1,12735.68333,1
3,1,1,1,378,334,992,883,0,1
64,11,2,28,11940,215,3390,1001,25.13333313,0
9,3,2,28,11940,215,3390,1001,25.13333313,1
43,6,3,28,11940,215,3390,1001,25.13333313,0
7,2,2,13,3831,2334,3115,2345,1094.816666,1
5,2,1,1,63,24,6,6,14.34999995,0
8,2,2,33,3122,1798,992,852,1511.716667,1
48,8,4,67,12062,10764,997,857,576.8666665,1
8,1,1,2,1455,1052,999,859,199.1999998,0
11,4,3,3,1455,1052,1000,860,194.6166672,1
89,9,8,0,4,4,2639,2410,987.333333,1
89,9,8,1,311,310,2639,2410,101.1166667,1
29,4,2,68,12067,10769,1637,1241,62.24999964,1
214,2,2,1,36,34,14,0,212.5499998,1
21,2,2,0,0,0,14,0,0,1
205,24,14,0,0,0,14,0,0,1
104,13,3,0,0,0,14,0,0,1
98,16,9,0,0,0,14,0,0,1
209,4,4,0,0,0,14,0,0,1
6,2,2,3,405,26,1345,1205,109.6666666,1
7,1,1,1,17,15,29,21,97.28333339,0
7,1,1,1,17,15,29,21,97.28333339,0
80,18,4,1,410,1,55,54,1097.7,0
80,18,4,6,770,449,55,54,991.8999998,0
27,5,3,2,102,102,407,403,143.6999997,1
141,29,5,9,181,162,413,409,46.35000005,1
11,2,1,1,116,116,412,408,1293.366667,0
119,18,8,2,232,219,491,24,18816.65,1
74,5,4,6,769,448,546,541,14499.73333,1
470,30,12,0,1203,992,1993,1760,0,1
4,1,1,1,3121,2935,707,675,4.666666165,0
124,2,2,2,905,72,196,165,88.28333326,1
19,8,5,28,12698,11800,1563,1518,382.7166662,1
5,1,1,32,3127,1799,1002,862,347.6333334,1
192,10,7,3,202,202,790,787,2370.566666,1
4,1,1,2,1596,1225,2215,1367,156.0000001,0
21,7,7,1,1174,19,2026,158,4138.4,0
21,7,7,4,137,1,2026,158,16487.76667,0
21,7,7,4,4940,771,2026,158,15526,0
76,6,1,5,672,313,1100,89,202.6833337,1
145,2,1,1,90,81,52,49,10.68333305,0
5,1,1,0,62,62,1118,106,480.0666665,0
23,5,3,1,1464,1060,941,459,18.36666696,1
401,20,13,2,203,203,216,215,1200.8,1
2,1,1,2,378,334,348,125,264.6833333,0
3,1,1,2,661,452,2572,96,1.283333749,1
20,4,3,15,2010,2,9420,15,1040,1
8,2,1,38,1985,1874,9414,8709,2219.983333,0
311,28,10,38,1985,1874,9414,8709,2219.983333,1
481,8,5,38,1985,1874,9414,8709,2219.983333,1
175,12,7,38,1985,1874,9414,8709,2219.983333,1
344,5,4,38,1985,1874,9414,8709,2219.983333,1
62,7,5,38,1985,1874,9414,8709,2219.983333,1
84,12,9,38,1985,1874,9414,8709,2219.983333,1
78,15,7,38,1985,1874,9414,8709,2219.983333,1
52,11,6,38,1985,1874,9414,8709,2219.983333,1
268,5,4,38,1985,1874,9414,8709,2219.983333,1
47,7,5,38,1985,1874,9414,8709,2219.983333,1
363,5,4,38,1985,1874,9414,8709,2219.983333,1
50,7,5,38,1985,1874,9414,8709,2219.983333,1
160,5,4,38,1985,1874,9414,8709,2219.983333,1
29,6,4,38,1985,1874,9414,8709,2219.983333,1
146,18,4,0,1,1,13,11,0,1
76,3,2,5,67,62,12,10,11.43333301,1
3,1,1,0,1,1,13,11,0,0
2,1,1,4,272,254,806,706,124.683333,0
19,5,2,1,58,29,993,884,99.11666617,1
7,1,1,1,57,28,987,878,17.06666663,1
20,2,2,14,3525,3355,1124,1072,9.116666839,1
80,4,2,27,12697,11799,1560,1515,1829.016667,1
2,1,1,0,1,0,1085,710,17.11666703,0
6,1,1,1,160,84,1086,711,2.450000122,1
33,3,3,1,126,111,91,84,9.483333528,1
68,8,5,9,4040,1290,1604,729,19.65000004,1
2,1,1,8,4042,1292,1605,730,23.90000045,0
186,9,2,5,4030,1281,1590,715,12161.26667,1
16,7,6,8,4044,1294,619,544,374.0833334,1
36,4,2,1,159,57,1733,234,200.9666669,1
2,1,1,0,1,1,13,11,0,0
17,7,2,67,12067,10769,4063,1228,109.9833336,1
11,2,1,1,1463,1059,4062,1227,40.58333382,0
27,4,4,8,986,506,1073,306,37.73333319,1
25,8,8,1,1174,19,2026,158,4138.4,1
25,8,8,4,137,1,2026,158,16487.76667,1
25,8,8,4,4940,771,2026,158,15526,1
2,1,1,4,629,67,2048,159,507.3500001,1
2,1,1,8,4042,1292,1605,730,23.90000045,0
6,1,1,5,628,487,1989,1757,910.0833336,1
13,2,2,5,628,487,1989,1757,910.0833336,1
8,2,2,8,4042,1292,1605,730,23.90000045,0
133,13,2,2,198,185,757,678,977.3500002,1
19,1,1,69,12065,10767,562,555,0.86666666,0
197,8,6,69,12065,10767,562,555,0.86666666,0
396,9,7,69,12065,10767,562,555,0.86666666,0
299,9,7,69,12065,10767,562,555,0.86666666,1
205,8,6,69,12065,10767,562,555,0.86666666,0
6,2,1,2,718,30,1094,22,0,0
9,3,2,3,264,261,961,822,302.2499994,0
67,4,2,6,982,7,610,357,608.7166668,0
26,13,1,70,12062,10764,1639,1342,213.5333338,1
4,1,1,70,12062,10764,1639,1342,213.5333338,1
2,1,1,0,636,487,1422,1024,0,0
8,1,1,1,552,547,471,354,195.7666663,0
273,18,3,11,837,777,697,633,10207.53333,1
11,1,1,2,718,30,151,68,8.000000194,0
31,3,3,1,15,15,347,331,129.1499995,0
19,1,1,69,12065,10767,562,555,0.86666666,1
197,8,6,69,12065,10767,562,555,0.86666666,1
396,9,7,69,12065,10767,562,555,0.86666666,1
299,9,7,69,12065,10767,562,555,0.86666666,1
205,8,6,69,12065,10767,562,555,0.86666666,1
37,3,1,1,18,11,237,51,0,0
11,3,1,0,0,0,2121,1776,4591.033334,1
36,18,12,7,253,247,4418,4094,885.0999997,0
47,16,6,7,253,247,4418,4094,885.0999997,0
15,3,2,7,253,247,4418,4094,885.0999997,0
218,56,5,7,253,247,4418,4094,885.0999997,0
11,2,2,7,253,247,4418,4094,885.0999997,0
64,23,3,7,253,247,4418,4094,885.0999997,0
123,8,1,7,253,247,4419,4095,979.916667,0
38,6,3,1,1455,1052,993,853,849.9999996,1
38,6,3,3,628,487,993,853,2219.916666,1
44,11,9,1,1150,1117,1003,863,691.133333,1
10,1,1,39,12100,10802,3385,3017,149.6000006,1
3,2,1,6,38,6,201,15,102.7833331,1
78,18,7,1,19,7,239,186,0,1
81,3,3,5,145,65,612,359,5.883333609,1
628,5,4,32,12108,10810,565,558,18.78333338,1
150,13,8,32,12108,10810,565,558,18.78333338,1
648,9,7,69,12065,10767,562,555,0.86666666,1
90,5,3,0,4,4,2646,2417,43.38333338,1
126,13,8,8,986,506,299,128,21.7833332,0
6,3,3,8,986,506,299,128,21.7833332,0
55,8,3,1,3096,55,3616,121,4338.916667,1
55,8,3,4,277,5,3616,121,11788.53333,1
4,1,1,2,380,336,35,34,606.6166668,1
213,18,3,6,985,505,1758,1290,242.9000001,1
44,8,4,6,1811,1320,2578,1485,30.11666693,1
14,2,2,7,985,505,1759,1291,26.94999933,0
336,77,4,18,2001,1592,21,17,2784.916667,1
26,3,2,3,382,338,167,146,556.4833331,1
71,8,3,4,325,324,1007,866,32.31666707,1
36,18,12,7,253,247,4418,4094,885.0999997,1
47,16,6,7,253,247,4418,4094,885.0999997,0
15,3,2,7,253,247,4418,4094,885.0999997,0
219,56,5,7,253,247,4418,4094,885.0999997,1
11,2,2,7,253,247,4418,4094,885.0999997,1
64,23,3,7,253,247,4418,4094,885.0999997,1
123,8,1,7,253,247,4419,4095,979.916667,1
370,21,2,2,123,120,650,488,20778.46667,1
14,2,2,6,4052,1302,610,543,10.54999977,0
16,2,2,1,114,113,214,213,902.6833335,1
251,24,6,0,57,43,295,211,0,1
8,5,2,2,386,342,169,148,102.3500001,0
82,2,2,3,384,340,168,147,126.2500005,0
2,1,1,6,4052,1302,610,543,10.54999977,0
17,6,3,16,12687,11792,373,342,2258.816667,0
7,1,1,0,5,5,13,13,0,0
27,6,2,0,5,5,13,13,0,1
95,6,2,3,324,323,563,556,895.866667,1
189,73,45,3,324,323,563,556,895.866667,1
252,7,6,2,314,313,534,527,1503.649999,1
252,7,6,29,12032,10734,534,527,1442.666666,1
117,8,6,2,314,313,534,527,1503.649999,1
117,8,6,29,12032,10734,534,527,1442.666666,1
223,16,9,2,314,313,534,527,1503.649999,1
223,16,9,29,12032,10734,534,527,1442.666666,1
536,32,22,2,314,313,534,527,1503.649999,1
536,32,22,29,12032,10734,534,527,1442.666666,1
320,10,5,3,324,323,563,556,895.866667,1
246,8,6,51,12049,10751,549,542,4879.1,1
549,13,9,51,12049,10751,549,542,4879.1,1
529,15,8,51,12049,10751,549,542,4879.1,1
248,8,6,51,12049,10751,549,542,4879.1,1
59,15,8,2,314,313,530,523,393.8999999,1
508,18,14,51,12049,10751,549,542,4879.1,1
523,8,6,51,12049,10751,549,542,4879.1,1
377,8,6,51,12049,10751,549,542,4879.1,1
416,8,6,51,12049,10751,549,542,4879.1,1
46,5,1,6,321,320,552,545,29.08333316,1
98,24,7,6,321,320,552,545,29.08333316,1
437,8,6,51,12049,10751,549,542,4879.1,1
268,27,19,48,12049,10751,548,541,5963.233333,1
3,1,1,15,2010,1899,1586,1384,926.5833333,0
63,5,3,21,1961,1850,1579,1377,39300.53333,1
30,4,3,15,2010,1899,1587,1385,1112.516667,0
136,15,9,8,986,506,299,128,21.7833332,1
569,27,20,57,12049,10751,558,551,5585.049999,1
614,15,10,57,12049,10751,558,551,5585.049999,1
378,16,13,57,12049,10751,558,551,5585.049999,1
514,9,7,57,12049,10751,558,551,5585.049999,1
288,8,6,57,12049,10751,558,551,5585.049999,1
424,12,9,57,12049,10751,558,551,5585.049999,1
6,2,2,0,32,32,218,217,214.3166663,0
6,1,1,6,1812,1321,303,132,14.3833331,0
5,2,1,4,130,120,1735,236,1649.066667,1
23,4,2,4,130,120,1735,236,1649.066667,1
8,2,1,4,130,120,1735,236,1649.066667,0
6,3,2,0,0,0,1589,1387,72.26666696,1
2,1,1,1,92,5,2306,1685,21.31666705,1
5,1,1,7,1813,1322,304,133,58.01666647,0
26,5,4,1,1469,1062,1006,865,1867.366667,0
4,2,1,32,1198,1162,1008,867,55.0333339,1
51,8,4,3,629,481,1635,1239,1081.366667,1
35,7,3,1,417,348,7,2,1522.066667,1
64,5,3,1,1467,190,852,818,3153.266666,0
5,1,1,4,358,186,1627,181,1537.65,1
17,8,5,5,4940,771,1622,180,8996.35,0
17,8,5,11,808,23,1622,180,8.666666597,0
52,20,1,5,4940,3135,1619,1224,9282.866667,1
3,2,2,60,12049,10751,1627,1231,3139.533333,0
80,11,2,60,12049,10751,1627,1231,3139.533333,0
328,38,9,1,371,327,159,157,146.8833333,1
3,2,2,20,12712,11813,474,357,1073.483333,0
67,4,2,6,982,7,610,357,608.7166668,0
2,2,2,6,982,7,610,357,608.7166668,0
111,4,4,3,418,21,725,55,27.09999986,1
116,18,16,4,421,288,737,254,85.88333353,0
3,2,2,4,112,0,588,5,6.983333677,0
115,5,2,4,419,22,731,61,268.5666671,1
510,6,4,3,421,24,736,66,712.2499998,1
10,4,1,1,426,27,739,67,15.61666645,1
27,1,1,1,426,27,739,67,15.61666645,0
339,8,5,2,419,22,728,58,1422.733333,1
443,8,5,4,422,7,738,27,12.36666664,1
25,7,6,1,411,19,611,44,4503.666667,0
25,7,6,6,554,0,611,44,4049.883333,0
128,9,3,1,427,28,740,68,21.76666662,1
41,4,2,1,428,29,741,69,49.13333304,1
3,2,1,0,5,0,722,253,17.86666699,1
3,2,1,4,145,65,722,253,0,1
5,1,1,1,428,29,741,69,49.13333304,0
66,3,1,1,429,30,742,70,49.34999987,1
17,1,1,1,430,8,743,28,16.00000039,1
404,27,7,1,229,167,594,13,202.0333332,0
24,1,1,1,430,8,743,28,16.00000039,1
1,1,1,4,112,0,588,5,6.983333677,0
4,1,1,2,113,113,257,55,22.21666686,0
5,5,4,2,116,116,259,57,734.283333,1
581,139,30,1,18,18,494,460,391.9166666,1
2,1,1,11,837,777,697,633,10207.53333,0
5,1,1,0,1205,994,1036,870,18.73333365,0
81,16,8,19,3508,3344,2305,1684,446.8833335,1
322,6,6,6,989,509,1086,319,1834.35,1
132,3,2,6,989,509,1087,320,1026.533334,0
53,3,2,1,130,20,701,63,0,1
2,1,1,1,361,128,1037,871,7.583333775,0
1,1,1,1,130,20,701,63,0,0
1,1,1,1,429,30,742,70,49.34999987,0
3,2,1,4,137,1,3375,53,6103.883333,0
1,1,1,4,137,1,3375,53,6103.883333,1
44,6,3,22,12713,11814,1011,901,59.11666654,1
184,24,2,2,141,138,1008,898,102.9999999,1
184,24,2,21,12712,11813,1008,898,591.3166666,1
10,2,2,2,141,138,1008,898,102.9999999,1
10,2,2,21,12712,11813,1008,898,591.3166666,1
76,22,4,2,142,139,1009,899,60.21666661,1
76,22,4,5,70,65,1009,899,424.6833332,1
15,1,1,18,3805,2312,2,2,44263.16667,0
253,29,20,0,27,25,602,546,0,1
4,1,1,1,28,18,0,0,702.4833331,0
54,3,1,0,44,26,161,106,0,0
123,22,17,0,44,26,161,106,0,0
2,1,1,1,227,17,137,58,142.4833336,0
8,1,1,31,3127,6,13,5,540.5666669,1
5,2,1,1,405,226,333,27,412.4999996,1
2,1,1,2,405,226,334,28,395.2166668,1
83,7,3,19,12712,11813,473,356,1080.099999,0
473,16,3,4,621,474,1621,1226,9246.25,1
38,6,3,53,12084,10786,1638,1242,42.18333319,1
3,2,1,5,7570,6961,2338,2241,268.6666665,0
6,1,1,0,1204,993,1426,1026,3.383333087,1
18,2,2,4,38,32,199,183,1777.883333,1
2,1,1,11,837,777,697,633,10207.53333,0
3,1,1,1,28,18,0,0,702.4833331,0
5,1,1,0,1205,994,1036,870,18.73333365,0
38,5,2,11,3532,3360,298,214,81.78333364,0
4,2,1,2,172,1,1102,91,16.61666706,1
315,3,3,0,180,179,705,673,1273.416667,0
2,1,1,1,429,30,742,70,49.34999987,0
77,8,5,0,2492,2397,1038,872,53.88333343,0
77,8,5,12,1229,1067,1038,872,5.46666652,0
2,1,1,1,429,30,742,70,49.34999987,1
2,1,1,0,2492,2397,1038,872,53.88333343,0
2,1,1,12,1229,1067,1038,872,5.46666652,0
24,5,4,4,681,68,1033,821,13.19999948,1
24,5,4,13,2009,111,1033,821,5.683333352,1
